Count,epoch,batch_size,lr,dropout,hidden_size,hidden_size,activate function,weight_decay,acc,precision,recall,f1,is_standard,Dimensionality_reduction_method,Time
1,500,128,[0.001 1e-05 1e-07],0,2,32,1e-08,relu,0.9694444444444444,0.9687175926881808,0.9688045299020909,0.9686272668020512,False,None,13.288294792175293
2,13,128,[0.001 1e-05 1e-07],0,2,32,1e-08,relu,0.8222222222222222,0.8392923471053109,0.8170261094651338,0.8083907897140158,False,None,0.4019167423248291
3,13,128,[0.001 1e-05 1e-07],0,2,32,1e-08,relu,0.7777777777777778,0.8295168715034581,0.7747716950155975,0.7520264192377982,False,None,0.39988183975219727
4,13,128,[0.001 1e-05 1e-07],0,2,32,1e-08,relu,0.6805555555555556,0.7307996269572373,0.6761280194207023,0.63654285931674,False,None,0.39489006996154785
5,13,128,[0.001 1e-05 1e-07],0,2,32,1e-08,relu,0.7972222222222223,0.7591792398777694,0.7881547753498974,0.7528816139537693,False,None,0.4203779697418213
6,165,128,[0.001 1e-05 1e-07],0,2,32,1e-08,relu,0.9666666666666667,0.9668564565515785,0.9667277708741123,0.9662674386045926,False,None,4.402328729629517
7,707,128,[0.001 1e-05 1e-07],0,2,32,1e-08,relu,0.9694444444444444,0.9690417916203709,0.9696282037745453,0.9688560760741073,False,None,19.6618549823761
8,168,128,[0.001 1e-05 1e-07],0,2,32,1e-08,relu,0.9694444444444444,0.9694659314154057,0.9682613332613332,0.9685358731080852,False,None,4.470734119415283
9,79,128,[0.001 1e-05 1e-07],0,2,32,1e-08,relu,0.975,0.975161757181126,0.974333092381873,0.9744585988603969,False,None,2.131791830062866
10,47,128,[0.001 1e-05 1e-07],0,2,32,1e-08,relu,0.9666666666666667,0.9666964285714286,0.9675715747666966,0.9665512197104504,False,None,1.3009490966796875
11,182,128,[0.001 1e-05 1e-07],0,2,32,1e-08,relu,0.9638888888888889,0.9647965903059159,0.9640996412947631,0.9638413427368275,False,None,4.824284076690674
12,195,128,[0.001 1e-05 1e-07],0,2,32,1e-08,relu,0.9666666666666667,0.9672860861042354,0.9665498187449406,0.9666118820449187,False,None,5.3963000774383545
13,182,128,[0.001 1e-05 1e-07],0,2,32,1e-08,relu,0.9611111111111111,0.962099567099567,0.9609442600906014,0.960982771614313,False,None,5.00043797492981
14,104,128,[0.001 1e-05 1e-07],0,2,32,relu,1e-08,0.9611111111111111,0.9621527694340981,0.9601504592968008,0.9603077010389279,False,None,2.823004961013794
15,126,128,[0.001 1e-05 1e-07],0,2,32,relu,1e-08,0.9694444444444444,0.9699393480113484,0.9700264391727806,0.9696074504889823,False,None,3.4323670864105225
