epoch,batch_size,lr,dropout,hidden_size,hidden_size,activate function,mse,rmse,mae,r2,is_standard,is_PCA
2000,128,0.01,0,2,32,relu,3716147.2,1927.7311,1844.8057,-10.87877190703107,False,False
10000,256,[0.01 0.0001 1e-06],0,2,32,relu,2813084.2,1677.2252,1581.2161,-7.992103567195716,False,False
2000,256,[0.01 0.0001 1e-06],0,2,32,relu,8701426.0,2949.8179,2896.306,-26.814359620681774,False,False
2000,256,[0.01 0.0001 1e-06],0,2,32,relu,0.99015844,0.99506706,0.73087466,-0.6505037494024111,False,False
2000,256,[0.01 0.0001 1e-06],0.5,2,32,relu,1.0296793,1.0147312,0.75724185,-0.7163814546970078,False,False
10000,256,[0.01 0.0001 1e-06],0.5,2,32,relu,3195891.5,1787.7057,1698.1427,-9.236560939059133,False,False
10000,256,[0.01 0.0001 1e-06],0,2,32,relu,2896957.8,1702.0452,1607.7168,-8.2790636981966,False,False
1000,256,[0.01 0.0001 1e-06],0.5,2,32,relu,8.575622,2.9284163,2.2900887,-1.1409780879452072,False,False
1000,256,[0.01 0.0001 1e-06],0.5,2,32,relu,10984708.0,3314.3186,3266.8796,-34.18443440405413,False,False
2000,64,[0.01 0.0001 1e-06],0.5,2,32,relu,196344.16588012452,443.1073976815604,435.88119864463806,-29.911833760064045,False,False
2000,64,[0.01 0.0001 1e-06],0.5,2,32,relu,0.6964284231342506,0.8345228715465206,0.6998643006792107,0.09304375908843276,False,False
1000,256,[0.01 0.0001 1e-06],0.5,2,32,relu,42000.4052976868,204.94000414191174,167.93664714268274,-2.017055964655711,False,False
10000,256,[0.01 0.0001 1e-06],0,2,32,relu,1169.3191661760295,34.19530912531761,29.507007598876953,0.9001790603626532,False,False
10000,256,[0.01 0.0001 1e-06],0,2,32,relu,4048.1046985315043,63.62471766956223,55.36490903581892,0.6171178825014589,False,False
